rental_date,rental_id,asset_id,market_id,rental_revenue
1/1/2017,1862,2015,3,1790.37
1/1/2017,2056,1176,4,264.23
1/1/2017,3769,1699,1,313.69
1/1/2017,4400,4671,3,2581.96
1/1/2017,4430,2014,3,1266.12
1/1/2017,4844,699,1,2429.88
1/1/2017,4860,1995,3,393.98
1/1/2017,4861,1994,3,393.98
1/1/2017,4862,2019,3,393.98
1/1/2017,6237,4175,3,2536.92
1/1/2017,6476,1377,1,1329.9
1/1/2017,6482,1671,1,1629.3
1/1/2017,6521,2386,3,1163.19
1/1/2017,6537,1503,3,238.67
1/1/2017,6538,2043,3,245.04
1/1/2017,6561,1733,3,1338.96
1/1/2017,6640,6386,6,1871.63
1/1/2017,6816,2484,3,287.34
1/1/2017,6884,3527,1,238.56
1/1/2017,6885,1221,1,240.8
1/1/2017,6933,828,3,1476.28
1/1/2017,7006,1222,1,281.27
1/1/2017,7198,3533,1,241.39
1/1/2017,7199,3566,1,237.54
1/1/2017,7217,1438,6,3147.43
1/1/2017,7263,2304,3,724.83
1/1/2017,7514,3109,3,121.71
1/1/2017,7533,3710,3,1488
1/1/2017,7563,3805,6,389.37
1/1/2017,7574,1737,3,1896.88
1/1/2017,7617,3790,6,391.15
1/1/2017,7691,3810,6,390.05
1/1/2017,7693,3796,6,390.05
1/1/2017,7699,4156,3,674.04
1/1/2017,7793,4136,3,2000.42
1/1/2017,7811,3170,6,718.96
1/1/2017,7813,3171,6,718.96
1/1/2017,7814,3173,6,718.96
1/1/2017,7856,587,1,237.53
1/1/2017,7883,3778,6,380.97
1/1/2017,7920,3808,6,388.5
1/1/2017,7945,3529,1,238.67
1/1/2017,7979,3787,6,383.8
1/1/2017,8002,3797,6,372.47
1/1/2017,8269,4162,1,92.04
1/1/2017,8338,4288,4,1720.02
1/1/2017,8355,3868,3,160.47
1/1/2017,8392,5866,1,1446.83
1/1/2017,8479,4013,8,951.25
1/1/2017,8480,1909,8,2666.09
1/1/2017,8489,3071,5,297.35
1/1/2017,8490,3066,5,297.35
1/1/2017,8533,4096,5,1325.43
1/1/2017,8534,744,5,483.24
1/1/2017,8599,3995,6,2106
1/1/2017,8627,2029,3,149.76
1/1/2017,8683,3935,5,1322.16
1/1/2017,8756,3996,6,385.98
1/1/2017,9155,1566,3,2567.84
1/1/2017,9232,3264,3,154.2
1/1/2017,9272,1899,1,651
1/1/2017,9317,3150,9,411.54
1/1/2017,9354,4088,5,1690.47
1/1/2017,9424,3911,5,889.8
1/1/2017,9452,2555,3,47.77
1/1/2017,9456,2562,3,248.15
1/1/2017,9534,3610,5,553.59
1/1/2017,9543,1874,3,1960.03
1/1/2017,9670,7915,3,240.29
1/1/2017,9671,4049,3,240.29
1/1/2017,9672,4433,3,242.02
1/1/2017,9673,4440,3,240.29
1/1/2017,9871,3839,1,235.57
